Customer ID,Initial Device Inquiry,Initial Issue Category,Secondary Devices Owned,Probing Question/Statement Used,HomeTech Protection Offer Presented,HomeTech Protection Offer Accepted
0,Phone,Slow Performance,"Laptop, Desktop, Printer, Smart Thermostat, Smart Headphones, Fitness Tracker, Smart TV",Many of our customers bundle their Smart TVs with their other devices for complete home tech protection. It's very affordable. Would you like to explore that option?,False,False
1,Smart Watch,Connectivity Issue,"Smart TV, Desktop",Protecting your Smart TV can be expensive. HomeTech Protection offers great coverage for entertainment devices. Interested?,True,True
2,Phone,App Issue,"Gaming System, Smart Thermostat, Smart TV, Desktop, Sound Bar",Protecting your Smart TV can be expensive. HomeTech Protection offers great coverage for entertainment devices. Interested?,True,False
3,Tablet,Warranty Claim,"Smart Security Camera, Smart TV, Desktop, Gaming System, Fitness Tracker, Smart Thermostat, Smart Speaker, Laptop, Smart Headphones, Sound Bar, Printer","I see you have a laptop and a gaming system. HomeTech Protection covers all your devices, even high-value ones like those. Would you be interested in learning more?",True,False
4,Tablet,Connectivity Issue,"Laptop, Smart Thermostat, Smart Security Camera, Smart Headphones, Sound Bar, Desktop, Smart TV, Printer, Fitness Tracker, Smart Speaker",Many of our customers bundle their Smart TVs with their other devices for complete home tech protection. It's very affordable. Would you like to explore that option?,False,False
5,Tablet,Cracked Screen,"Smart TV, Sound Bar, Laptop, Gaming System, Smart Headphones, Fitness Tracker, Printer","With a laptop and a gaming system, you've got a great setup. HomeTech Protection can keep it all protected. Want to learn more?",True,False
6,Tablet,Connectivity Issue,"Smart Security Camera, Printer, Smart TV, Sound Bar, Desktop, Gaming System, Smart Headphones, Smart Speaker, Smart Thermostat",Many of our customers bundle their Smart TVs with their other devices for complete home tech protection. It's very affordable. Would you like to explore that option?,False,False
7,Phone,Battery Problem,"Fitness Tracker, Desktop, Gaming System, Sound Bar, Laptop, Printer, Smart Security Camera, Smart Headphones, Smart TV, Smart Thermostat","I see you have a laptop and a gaming system. HomeTech Protection covers all your devices, even high-value ones like those. Would you be interested in learning more?",False,False
8,Phone,Software Issue,"Smart TV, Sound Bar, Printer, Smart Speaker, Smart Headphones, Gaming System, Fitness Tracker",Protecting your Smart TV can be expensive. HomeTech Protection offers great coverage for entertainment devices. Interested?,False,False
9,Phone,Connectivity Issue,"Smart Thermostat, Desktop, Smart TV, Gaming System, Laptop, Smart Speaker, Printer, Sound Bar, Smart Security Camera, Fitness Tracker, Smart Headphones","I see you have a laptop and a gaming system. HomeTech Protection covers all your devices, even high-value ones like those. Would you be interested in learning more?",True,True
10,Tablet,Network Issue,"Smart TV, Printer, Smart Security Camera, Fitness Tracker",Many of our customers bundle their Smart TVs with their other devices for complete home tech protection. It's very affordable. Would you like to explore that option?,True,False
11,Smart Watch,Connectivity Issue,"Smart Security Camera, Sound Bar, Fitness Tracker, Gaming System, Smart Speaker","It looks like you're into wearable tech! HomeTech Protection can cover both your Smart Watch and Fitness Tracker, and all your other devices too. Want to learn more?",True,True
12,Phone,Network Issue,None,"While we're discussing your {initial_device}, have you considered protecting it against accidental damage?",False,False
13,Phone,Software Issue,Smart Thermostat,"I see you have some smart home devices. HomeTech Protection can cover your smart thermostat and security cameras, along with all your other tech. Have you considered it?",True,False
14,Tablet,Slow Performance,"Desktop, Smart Speaker, Gaming System, Printer, Sound Bar, Laptop, Smart Security Camera, Smart Headphones, Smart TV","With a laptop and a gaming system, you've got a great setup. HomeTech Protection can keep it all protected. Want to learn more?",False,False
15,Tablet,Battery Problem,"Laptop, Fitness Tracker, Smart Headphones","Do you have a printer at home? Printers can be expensive to replace, and HomeTech Protection can cover them.",True,True
16,Smart Watch,Software Issue,"Fitness Tracker, Smart Security Camera, Sound Bar, Printer, Laptop, Smart Speaker, Gaming System, Smart TV, Smart Thermostat, Smart Headphones","I see you have a laptop and a gaming system. HomeTech Protection covers all your devices, even high-value ones like those. Would you be interested in learning more?",False,False
17,Phone,Software Issue,"Printer, Smart TV, Smart Thermostat",Protecting your Smart TV can be expensive. HomeTech Protection offers great coverage for entertainment devices. Interested?,True,False
18,Phone,Cracked Screen,"Smart Security Camera, Desktop, Smart Speaker, Laptop, Smart TV, Sound Bar",Many of our customers bundle their Smart TVs with their other devices for complete home tech protection. It's very affordable. Would you like to explore that option?,False,False
